positionLink,positionName,positionNumber,positionType,publishTime,workLocation
[<Selector xpath='./td[1]/a/@href' data='position_detail.php?id=33188&keywords=&t'>],[<Selector xpath='./td[1]/a/text()' data='TEG17-Principal Researcher（us）'>],[<Selector xpath='./td[3]/text()' data='5'>],[<Selector xpath='./td[2]/text()' data='技术类'>],[<Selector xpath='./td[5]/text()' data='2017-10-08'>],[<Selector xpath='./td[4]/text()' data='美国'>]
[<Selector xpath='./td[1]/a/@href' data='position_detail.php?id=33189&keywords=&t'>],[<Selector xpath='./td[1]/a/text()' data='TEG17-Senior Researcher（us）'>],[<Selector xpath='./td[3]/text()' data='5'>],[<Selector xpath='./td[2]/text()' data='技术类'>],[<Selector xpath='./td[5]/text()' data='2017-10-08'>],[<Selector xpath='./td[4]/text()' data='美国'>]
[<Selector xpath='./td[1]/a/@href' data='position_detail.php?id=33191&keywords=&t'>],[<Selector xpath='./td[1]/a/text()' data='EC-教育平台产品经理（深圳）'>],[<Selector xpath='./td[3]/text()' data='1'>],[<Selector xpath='./td[2]/text()' data='产品/项目类'>],[<Selector xpath='./td[5]/text()' data='2017-10-08'>],[<Selector xpath='./td[4]/text()' data='深圳'>]
[<Selector xpath='./td[1]/a/@href' data='position_detail.php?id=33192&keywords=&t'>],[<Selector xpath='./td[1]/a/text()' data='23674-新闻推荐算法高级工程师（北京）'>],[<Selector xpath='./td[3]/text()' data='5'>],[<Selector xpath='./td[2]/text()' data='技术类'>],[<Selector xpath='./td[5]/text()' data='2017-10-08'>],[<Selector xpath='./td[4]/text()' data='北京'>]
[<Selector xpath='./td[1]/a/@href' data='position_detail.php?id=33193&keywords=&t'>],[<Selector xpath='./td[1]/a/text()' data='23674-新闻个性化插件算法组长'>],[<Selector xpath='./td[3]/text()' data='1'>],[<Selector xpath='./td[2]/text()' data='技术类'>],[<Selector xpath='./td[5]/text()' data='2017-10-08'>],[<Selector xpath='./td[4]/text()' data='北京'>]
[<Selector xpath='./td[1]/a/@href' data='position_detail.php?id=33182&keywords=&t'>],[<Selector xpath='./td[1]/a/text()' data='TEG13-数据分析工程师（深圳）'>],[<Selector xpath='./td[3]/text()' data='2'>],[<Selector xpath='./td[2]/text()' data='技术类'>],[<Selector xpath='./td[5]/text()' data='2017-10-08'>],[<Selector xpath='./td[4]/text()' data='深圳'>]
[<Selector xpath='./td[1]/a/@href' data='position_detail.php?id=33184&keywords=&t'>],[<Selector xpath='./td[1]/a/text()' data='SNG16-全民K歌广告产品策划（深圳）'>],[<Selector xpath='./td[3]/text()' data='1'>],[<Selector xpath='./td[2]/text()' data='产品/项目类'>],[<Selector xpath='./td[5]/text()' data='2017-10-08'>],[<Selector xpath='./td[4]/text()' data='深圳'>]
[<Selector xpath='./td[1]/a/@href' data='position_detail.php?id=33185&keywords=&t'>],[<Selector xpath='./td[1]/a/text()' data='IEG-培训主管（深圳）'>],[<Selector xpath='./td[3]/text()' data='1'>],[<Selector xpath='./td[2]/text()' data='职能类'>],[<Selector xpath='./td[5]/text()' data='2017-10-08'>],[<Selector xpath='./td[4]/text()' data='深圳'>]
[<Selector xpath='./td[1]/a/@href' data='position_detail.php?id=33186&keywords=&t'>],[<Selector xpath='./td[1]/a/text()' data='SNG16-全民K歌IOS开发工程师（深圳）'>],[<Selector xpath='./td[3]/text()' data='3'>],[<Selector xpath='./td[2]/text()' data='技术类'>],[<Selector xpath='./td[5]/text()' data='2017-10-08'>],[<Selector xpath='./td[4]/text()' data='深圳'>]
[<Selector xpath='./td[1]/a/@href' data='position_detail.php?id=33187&keywords=&t'>],[<Selector xpath='./td[1]/a/text()' data='OMG097-交互设计师（北京）'>],[<Selector xpath='./td[3]/text()' data='1'>],[<Selector xpath='./td[2]/text()' data='设计类'>],[<Selector xpath='./td[5]/text()' data='2017-10-08'>],[<Selector xpath='./td[4]/text()' data='北京'>]
